year,cloud-provider,cloud-region,cfe-region,em-zone-id,wt-region-id,location,geolocation,provider-cfe-hourly,provider-cfe-annual,power-usage-effectiveness,water-usage-effectiveness,provider-carbon-intensity-market-annual,provider-carbon-intensity-average-consumption-hourly,grid-carbon-intensity-average-consumption-annual,grid-carbon-intensity-marginal-consumption-annual,grid-carbon-intensity-average-production-annual,grid-carbon-intensity,total-ICT-energy-consumption-annual,total-water-input,renewable-energy-consumption,renewable-energy-consumption-goe,renewable-energy-consumption-ppa,,renewable-energy-consumption-onsite
2023,Google Cloud,africa-south1,South Africa,ZA,ZA,Johannesburg,,0.16,,,,,646,,,,,,,,,,,
2023,Google Cloud,asia-east1,Taiwan,TW,TW,Taiwan,"25.0375,121.5625",0.18,,,,0,451,,,,,,,,,,,
2023,Google Cloud,asia-east2,Hong Kong,HK,HK,Hong Kong,"22.3,114.2",0.28,,,,0,360,,,,,,,,,,,
2023,Google Cloud,asia-northeast1,Tokyo,JP-TK,JP_TK,Tokyo,"35.6897,139.692",0.16,,,,0,459,,,,,,,,,,,
2023,Google Cloud,asia-northeast2,Kansai,JP-KN,JP_KN,Osaka,"34.6939,135.502",0.3,,,,0,385,,,,,,,,,,,
2023,Google Cloud,asia-northeast3,South Korea,KR,KOR,Seoul,"37.56,126.99",0.35,,,,0,378,,,,,,,,,,,
2023,Google Cloud,asia-south1,Maharashtra,IN-MH,IND,Mumbai,"19.0761,72.8775",0.14,,,,0,648,,,,,,,,,,,
2023,Google Cloud,asia-south2,Uttar Pradesh,IN-UP,IND,Delhi,"28.6092,76.9798",0.29,,,,0,529,,,,,,,,,,,
2023,Google Cloud,asia-southeast1,Singapore,SG,SGP,Singapore,"1.3,103.8",0.04,,,,0,372,,,,,,,,,,,
2023,Google Cloud,asia-southeast2,Indonesia,ID,ID,Jakarta,"-6.2507,106.869",0.13,,,,0,580,,,,,,,,,,,
2023,Google Cloud,australia-southeast1,New South Wales,AUS-NSW,NEM_NSW,Sydney,"-33.8678,151.21",0.33,,,,0,501,,,,,,,,,,,
2023,Google Cloud,australia-southeast2,Victoria,AUS-VIC,NEM_VIC,Melbourne,"-37.8142,144.963",0.4,,,,0,456,,,,,,,,,,,
2023,Google Cloud,europe-central2,Poland,PL,PL,Warsaw,"52.23,21.0111",0.31,,,,0,723,,,,,,,,,,,
2023,Google Cloud,europe-north1,Finland,FI,FI,Finland,"60.1708,24.9375",0.98,,,,0,46,,,,,,,,,,,
2023,Google Cloud,europe-southwest1,Spain,ES,ES,Madrid,"40.3333,-3.8667",0.76,,,,0,131,,,,,,,,,,,
2023,Google Cloud,europe-west1,Belgium,BE,BE,Belgium,"51.1333,4.5667",0.82,,,,0,122,,,,,,,,,,,
2023,Google Cloud,europe-west2,Great Britain,GB,UK,London,"51.726,-0.3",0.92,,,,0,136,,,,,,,,,,,
2023,Google Cloud,europe-west3,Germany,DE,DE,Frankfurt,"50.1106,8.6822",0.9,,,,0,345,,,,,,,,,,,
2023,Google Cloud,europe-west4,Netherlands,NL,NL,Eemshaven,"51.9167,4.5",0.8,,,,0,236,,,,,,,,,,,
2023,Google Cloud,europe-west6,Switzerland,CH,CH,Zurich,"47.3744,8.5411",0.92,,,,0,59,,,,,,,,,,,
2023,Google Cloud,europe-west8,North Italy,IT,IT,Milan,"45.4669,9.19",0.52,,,,0,249,,,,,,,,,,,
2023,Google Cloud,europe-west9,France,FR,FR,Paris,"48.8567,2.3522",0.94,,,,0,34,,,,,,,,,,,
2023,Google Cloud,europe-west12,North Italy,IT,IT,Turin,"45.0792,7.6761",0.52,,,,0,249,,,,,,,,,,,
2023,Google Cloud,me-central1,Doha,,,,,0,,,,,575,,,,,,,,,,,
2023,Google Cloud,me-central2,Damman,,,,,0,,,,,569,,,,,,,,,,,
2023,Google Cloud,me-west1,Israel,IL,IL,Tel Aviv,"32.0167,34.7667",0.05,,,,0,463,,,,,,,,,,,
2023,Google Cloud,northamerica-northeast1,Quebec,CA-QC,HQ,Montréal,"45.5089,-73.5617",1,,,,0,2,,,,,,,,,,,
2023,Google Cloud,northamerica-northeast2,Ontario,CA-ON,IESO_NORTH,Toronto,"43.7417,-79.3733",0.87,,,,0,47,,,,,,,,,,,
2023,Google Cloud,southamerica-east1,Central Brazil,BR-CS,BRA,São Paulo,"-3.45,-68.95",0.9,,,,0,56,,,,,,,,,,,
2023,Google Cloud,southamerica-west1,Chile,CL-SEN,CHL,Santiago,"-33.4372,-70.6506 ",0.91,,,,0,56,,,,,,,,,,,
2023,Google Cloud,us-central1,MISO,US-MIDW-MISO,MISO_MASON_CITY,Iowa,"41.5725,-93.6105 ",0.95,,,,0,430,,,,,,,,,,,
2023,Google Cloud,us-east1,SC,US-CAR-SC,SC,South Carolina,"34.8354,-82.3646 ",0.29,,,,0,560,,,,,,,,,,,
2023,Google Cloud,us-east4,PJM,US-MIDA-PJM,PJM_DC,Northern Virginia,"39.1057,-77.5544 ",0.52,,,,0,322,,,,,,,,,,,
2023,Google Cloud,us-east5,PJM,US-MIDA-PJM,PJM_SOUTHWEST_OH,Columbus,"41.4366,-97.3565 ",0.52,,,,0,322,,,,,,,,,,,
2023,Google Cloud,us-south1,ERCOT,US-TEX-ERCO,ERCOT_NORTHCENTRAL,Dallas,"44.9221,-123.313 ",0.79,,,,0,321,,,,,,,,,,,
2023,Google Cloud,us-west1,BPA,US-NW-BPAT,BPA,Oregon,"45.5372,-122.3955 ",0.84,,,,0,94,,,,,,,,,,,
2023,Google Cloud,us-west2,CAISO,US-CAL-CISO,LDWP,Los Angeles,"34.1141,-118.4068 ",0.55,,,,0,198,,,,,,,,,,,
2023,Google Cloud,us-west3,PACE,US-NW-PACE,PACE,Salt Lake City,"40.7776,-111.9311 ",0.29,,,,0,588,,,,,,,,,,,
2023,Google Cloud,us-west4,NVE,US-NW-NEVP,NEVP,Las Vegas,"35.6011,-105.2206 ",0.26,,,,0,373,,,,,,,,,,,
2023,Amazon Web Services,us-east-2,PJM,US-MIDA-PJM,PJM_SOUTHWEST_OH,US East (Ohio),"39.8689,-84.3292 ",,,1.120,0.180,0,,,,,,,,,,,,
2023,Amazon Web Services,us-east-1,PJM,US-MIDA-PJM,PJM_DC,US East (N. Virginia),"39.1057,-77.5544 ",,,1.150,0.180,0,,,,,,,,,,,,
2023,Amazon Web Services,us-west-1,CAISO,US-CAL-CISO,CAISO_NORTH,US West (N. California),"36.7783,-119.417931",,,1.170,0.180,0,,,,,,,,,,,,
2023,Amazon Web Services,us-west-2,BPA,US-NW-BPAT,BPA,US West (Oregon),"45.5371,-122.65 ",,,1.130,0.180,0,,,,,,,,,,,,
2023,Amazon Web Services,af-south-1,South Africa,ZA,ZA,Africa (Cape Town),"-33.9253,18.4239 ",,,1.240,0.180,,,,,,,,,,,,,
2023,Amazon Web Services,ap-east-1,Hong Kong,HK,HK,Asia Pacific (Hong Kong),"22.3,114.2",,,,0.180,,,,,,,,,,,,,
2023,Amazon Web Services,ap-south-2,Hyderabad,IN-SO,IND,Asia Pacific (Hyderabad),"17.385,78.4867 ",,,1.500,0.180,0,,,,,,,,,,,,
2023,Amazon Web Services,ap-southeast-3,Indonesia,ID,ID,Asia Pacific (Jakarta),"-6.175,106.8275 ",,,1.350,0.180,,,,,,,,,,,,,
2023,Amazon Web Services,ap-southeast-4,Victoria,AUS-VIC,NEM_VIC,Asia Pacific (Melbourne),"-37.8142,144.963",,,1.080,0.180,,,,,,,,,,,,,
2023,Amazon Web Services,ap-south-1,Maharashtra,IN-WE,IND,Asia Pacific (Mumbai),"19.0761,72.8775",,,1.440,0.180,0,,,,,,,,,,,,
2023,Amazon Web Services,ap-northeast-3,Kansai,JP-KN,JP_KN,Asia Pacific (Osaka),"34.6939,135.502",,,,0.180,0,,,,,,,,,,,,
2023,Amazon Web Services,ap-northeast-2,South Korea,KR,KOR,Asia Pacific (Seoul),"37.56,126.99",,,,0.180,,,,,,,,,,,,,
2023,Amazon Web Services,ap-southeast-1,Singapore,SG,SGP,Asia Pacific (Singapore),"1.3,103.8",,,1.300,0.180,,,,,,,,,,,,,
2023,Amazon Web Services,ap-southeast-2,New South Wales,AUS-NSW,NEM_NSW,Asia Pacific (Sydney),"-33.8678,151.21",,,1.150,0.180,,,,,,,,,,,,,
2023,Amazon Web Services,ap-northeast-1,Tokyo,JP-TK,JP_TK,Asia Pacific (Tokyo),"35.6897,139.692",,,1.300,0.180,0,,,,,,,,,,,,
2023,Amazon Web Services,ca-central-1,Quebec,CA-QC,HQ,Canada (Central),"45.5089,-73.5617",,,1.220,0.180,0,,,,,,,,,,,,
2023,Amazon Web Services,eu-central-1,Germany,DE,DE,Europe (Frankfurt),"50.1106,8.6822",,,1.330,0.180,0,,,,,,,,,,,,
2023,Amazon Web Services,eu-west-1,Ireland,IE,IE,Europe (Ireland),"53.35,-6.2603 ",,,1.100,0.180,0,,,,,,,,,,,,
2023,Amazon Web Services,eu-west-2,Great Britain,GB,UK,Europe (London),"51.726,-0.3",,,,0.180,0,,,,,,,,,,,,
2023,Amazon Web Services,eu-south-1,North Italy,IT,IT,Europe (Milan),"45.4669,9.19",,,,0.180,0,,,,,,,,,,,,
2023,Amazon Web Services,eu-west-3,France,FR,FR,Europe (Paris),"48.8567,2.3522",,,,0.180,0,,,,,,,,,,,,
2023,Amazon Web Services,eu-south-2,Spain,ES,ES,Europe (Spain),"40.3333,-3.8667",,,1.110,0.180,0,,,,,,,,,,,,
2023,Amazon Web Services,eu-north-1,Sweden,SE,SE,Europe (Stockholm),"59.3294,18.0686 ",,,1.120,0.180,0,,,,,,,,,,,,
2023,Amazon Web Services,eu-central-2,Switzerland,CH,CH,Europe (Zurich),"47.3744,8.5411",,,,0.180,0,,,,,,,,,,,,
2023,Amazon Web Services,il-central-1,Israel,IL,IL,Israel (Tel Aviv),"32.0167,34.7667",,,,0.180,,,,,,,,,,,,,
2023,Amazon Web Services,me-south-1,Bahrain,BH,BH,Middle East (Bahrain),"26.219,50.538 ",,,1.320,0.180,,,,,,,,,,,,,
2023,Amazon Web Services,me-central-1,United Arab Emirates,AE,AE,Middle East (UAE),"25.2631,55.2972 ",,,1.360,0.180,,,,,,,,,,,,,
2023,Amazon Web Services,sa-east-1,Central Brazil,BR-CS,BRA,South America (São Paulo),"-3.45,-68.95",,,1.180,0.180,,,,,,,,,,,,,
2023,Amazon Web Services,us-gov-east-1,PJM,US-MIDA-PJM,PJM_DC,GovCloud (US East),"39.1057,-77.5544 ",,,,0.180,0,,,,,,,,,,,,
2023,Amazon Web Services,us-gov-west-1,BPA,US-NW-BPAT,BPA,GovCloud (US West),"45.5371,-122.65 ",,,,0.180,0,,,,,,,,,,,,
2023,Amazon Web Services,cn-north-1,,,,China (Beijing),"39.904,116.4075 ",,,,0.180,0,,,,,,,,,,,,
2023,Amazon Web Services,cn-northwest-1,,,,China (Ningxia),"38.4795,106.2254 ",,,1.260,0.180,0,,,,,,,,,,,,
2023,Microsoft Azure,southeastasia,southeastasia,SG,SGP,Singapore,"1.352,103.835",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,brazilsouth,Brazil,BR-CS,BRA,Brazil,"-22.939, -47.045",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,northeurope,Finland,FI,FI,Finland,"60.2065, 24.6753",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,asiapacific,Indonesia,ID,ID,Indonesia,"-6.219, 106.867",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,newzealandnorth,New Zealand,NZ,NZ,New Zealand,"-36.867, 174.751",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,swedencentral,Sweden,SE,SE,Sweden,"59.329,18.067",1,,,,0,,,,,,,,,,,,
2023,Microsoft Azure,australiaeast,New South Wales,AUS-NSW,NEM_NSW,Australia East,"-33.889, 151.067",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,australiasoutheast,Victoria,AUS-VIC,NEM_VIC,Australia Southeast,"-37.725, 145.067",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,denmarkeast,Denmark,DK,DK,Denmark,"55.685, 12.584",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,greececentral,Greece,GR,GR,Greece Central,"37.987, 23.745",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,italynorth,North Italy,IT,IT,Italy North,"45.4669,9.19",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,polandcentral,Poland,PL,PL,Poland Central,"52.23,21.0111",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,taiwannorth,Taiwan,TW,TW,Taiwan,"25.0375,121.5625",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,austriaeast,Austria,AT,AT,Austria East,"48.217, 16.493",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,northeurope,Ireland,IE,IE,Ireland,"53.35,-6.2603 ",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,westeurope,Netherlands,NL,NL,Netherlands,"51.9167,4.5",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,indiasouthcentral,India,IND,IND,India South Central,"17.385,78.4867 ",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,mexicocentral,Mexico,MX_SIN,MX_SIN,Mexico Central,"20.631, -100.428",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,spaincentral,Spain,ES,ES,Spain Central,"40.44,-3.679",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,westus3,,,,Arizona: west US 3,"33.471,-112.056",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,eastus3,SOCO,US-SE-SOCO,SOCO,Georgia: East US 3,"33.76,-84.401",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,northcentralus,MISO,US-MIDW-MISO,MISO,Illinois: North Central US,"41.832,-87.673",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,centralus,MISO,US-MIDW-MISO,MISO,Iowa: Central US,"41.573,-93.608",,,,,0,,,,,,,,,,,,
2023,Microsoft Azure,southcentralus,ERCOT,US-TEX-ERCO,ERCOT,Texas: South Central US,"29.453,-98.508",,,,,0,,,,,,,,,,,,
2023,Microsoft Azure,eastus,PJM,US-MIDA-PJM,PJM_DC,Virginia: East US,"36.68,-78.377",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,eastus2,PJM,US-MIDA-PJM,PJM_DC,Virginia: East US 2,"36.68,-78.377",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,westus,BPA,US-NW-BPAT,BPA,Washington: West US,"47.247,-119.82",,,,,,,,,,,,,,,,,
2023,Microsoft Azure,westcentralus,,,,Wyoming: West Central US,"41.130,-104.83",,,,,,,,,,,,,,,,,
2022,Google Cloud,asia-east1,Taiwan,TW,TW,Taiwan,"25.0375,121.5625",0.18,,1.120,,0,453,,,,,,,,,,,
2022,Google Cloud,asia-east2,Hong Kong,HK,HK,Hong Kong,"22.3,114.2",0.28,,,,0,360,,,,,,,,,,,
2022,Google Cloud,asia-northeast1,Tokyo,JP-TK,JP_TK,Tokyo,"35.6897,139.692",0.16,,,,0,463,,535.9531592,,536,,,,,,,
2022,Google Cloud,asia-northeast2,Kansai,JP-KN,JP_KN,Osaka,"34.6939,135.502",0.32,,,,0,383,,550.5322311,,551,,,,,,,
2022,Google Cloud,asia-northeast3,South Korea,KR,KOR,Seoul,"37.56,126.99",0.31,,,,0,425,,686.0136038,,686,,,,,,,
2022,Google Cloud,asia-south1,Maharashtra,IN-MH,IND,Mumbai,"19.0761,72.8775",0.24,,,,0,555,,679.4097431,,679,,,,,,,
2022,Google Cloud,asia-south2,Uttar Pradesh,IN-UP,IND,Delhi,"28.6092,76.9798",0.23,,,,0,632,,679.4097431,,679,,,,,,,
2022,Google Cloud,asia-southeast1,Singapore,SG,SGP,Singapore,"1.3,103.8",0.04,,1.200,,0,372,,409.1860208,,409,,,,,,,
2022,Google Cloud,asia-southeast2,Indonesia,ID,ID,Jakarta,"-6.2507,106.869",0.13,,,,0,580,,,,,,,,,,,
2022,Google Cloud,australia-southeast1,New South Wales,AUS-NSW,NEM_NSW,Sydney,"-33.8678,151.21",0.27,,,,0,538,,770.3638355,,770,,,,,,,
2022,Google Cloud,australia-southeast2,Victoria,AUS-VIC,NEM_VIC,Melbourne,"-37.8142,144.963",0.34,,,,0,490,,664.5903366,,665,,,,,,,
2022,Google Cloud,europe-central2,Poland,PL,PL,Warsaw,"52.23,21.0111",0.24,,,,0,738,,852.3941505,,852,,,,,,,
2022,Google Cloud,europe-north1,Finland,FI,FI,Finland,"60.1708,24.9375",0.97,,1.090,,0,112,,784.9591618,,785,,,,,,,
2022,Google Cloud,europe-southwest1,Spain,ES,ES,Madrid,"40.3333,-3.8667",0.67,,,,0,160,,370.288102,,370,,,,,,,
2022,Google Cloud,europe-west1,Belgium,BE,BE,Belgium,"51.1333,4.5667",0.8,,1.090,,0,123,,411.1523178,,411,,,,,,,
2022,Google Cloud,europe-west2,Great Britain,GB,UK,London,"51.726,-0.3",0.85,,,,0,166,,427.7283704,,428,,,,,,,
2022,Google Cloud,europe-west3,Germany,DE,DE,Frankfurt,"50.1106,8.6822",0.96,,,,0,413,,741.7175367,,742,,,,,,,
2022,Google Cloud,europe-west4,Netherlands,NL,NL,Netherlands,"51.9167,4.5",0.57,,1.070,,0,317,,487.2176839,,487,,,,,,,
2022,Google Cloud,europe-west6,Switzerland,CH,CH,Zurich,"47.3744,8.5411",0.85,,,,0,118,,,,,,,,,,,
2022,Google Cloud,europe-west8,North Italy,IT,IT,Milan,"45.4669,9.19",0.42,,,,0,323,,385.8847276,,386,,,,,,,
2022,Google Cloud,europe-west9,France,FR,FR,Paris,"48.8567,2.3522",0.87,,,,0,71,,383.7390836,,384,,,,,,,
2022,Google Cloud,europe-west12,North Italy,IT,IT,Turin,"45.0792,7.6761",0.42,,,,0,323,,385.8847276,,386,,,,,,,
2022,Google Cloud,me-west1,Israel,IL,IL,Tel Aviv,"32.0167,34.7667",0.02,,,,0,476,,,,,,,,,,,
2022,Google Cloud,northamerica-northeast1,Quebec,CA-QC,HQ,Montréal,"45.5089,-73.5617",1,,,,0,0,,462.2451779,,462,,,,,,,
2022,Google Cloud,northamerica-northeast2,Ontario,CA-ON,IESO_NORTH,Toronto,"43.7417,-79.3733",0.9,,,,0,36,,356.8894651,,357,,,,,,,
2022,Google Cloud,southamerica-east1,Central Brazil,BR-CS,BRA,São Paulo,"-3.45,-68.95",0.89,,,,0,65,,571.4267992,,571,,,,,,,
2022,Google Cloud,southamerica-west1,Chile,CL-SEN,CHL,Santiago,"-33.4372,-70.6506 ",0.9,,1.090,,0,165,,615.8448463,,616,,,,,,,
2022,Google Cloud,us-central1,MISO,US-MIDW-MISO,MISO_MASON_CITY,Iowa,"41.5725,-93.6105 ",0.92,,1.110,,0,445,,539.2510271,,539,,,,,,,
2022,Google Cloud,us-east1,SC,US-CAR-SC,SC,South Carolina,"34.8354,-82.3646 ",0.26,,1.100,,0,532,,727.5301036,,728,,,,,,,
2022,Google Cloud,us-east4,PJM,US-MIDA-PJM,PJM_DC,Northern Virginia,"39.1057,-77.5544 ",0.6,,1.080,,0,354,429,565.3840343,,565,,,,,,,
2022,Google Cloud,us-east5,PJM,US-MIDA-PJM,PJM_SOUTHWEST_OH,Columbus,"41.4366,-97.3565 ",0.6,,1.130,,0,354,429,565.1671385,,565,,,,,,,
2022,Google Cloud,us-south1,ERCOT,US-TEX-ERCO,ERCOT_NORTHCENTRAL,Dallas,"44.9221,-123.313 ",0.41,,1.140,,0,342,,441.0116857,,441,,,,,,,
2022,Google Cloud,us-west1,BPA,US-NW-BPAT,BPA,Oregon,"45.5372,-122.3955 ",0.89,,1.100,,0,67,,427.1886293,,427,,,,,,,
2022,Google Cloud,us-west2,CAISO,US-CAL-CISO,LDWP,Los Angeles,"34.1141,-118.4068 ",0.56,,,,0,202,,501.0230748,,501,,,,,,,
2022,Google Cloud,us-west3,PACE,US-NW-PACE,PACE,Salt Lake City,"40.7776,-111.9311 ",0.31,,,,0,606,,664.0421037,,664,,,,,,,
2022,Google Cloud,us-west4,NVE,US-NW-NEVP,NEVP,Las Vegas,"35.6011,-105.2206 ",0.27,,1.090,,0,396,,456.7534925,,457,,,,,,,
2022,Amazon Web Services,us-east-2,PJM,US-MIDA-PJM,PJM_SOUTHWEST_OH,US East (Ohio),"39.8689,-84.3292 ",,1.00,1.120,0.190,0,,,565.1671385,,565,,,,,,,
2022,Amazon Web Services,us-east-1,PJM,US-MIDA-PJM,PJM_DC,US East (N. Virginia),"39.1057,-77.5544 ",,1.00,1.160,0.190,0,,,565.3840343,,565,,,,,,,
2022,Amazon Web Services,us-west-1,CAISO,US-CAL-CISO,CAISO_NORTH,US West (N. California),"36.7783,-119.417931",,1.00,1.170,0.190,0,,,392.7840553,,393,,,,,,,
2022,Amazon Web Services,us-west-2,BPA,US-NW-BPAT,BPA,US West (Oregon),"45.5371,-122.65 ",,1.00,1.130,0.190,0,,,427.1886293,,427,,,,,,,
2022,Amazon Web Services,af-south-1,South Africa,ZA,ZA,Africa (Cape Town),"-33.9253,18.4239 ",,,1.360,0.190,,,,,,,,,,,,,
2022,Amazon Web Services,ap-east-1,Hong Kong,HK,HK,Asia Pacific (Hong Kong),"22.3,114.2",,,,0.190,,,,,,,,,,,,,
2022,Amazon Web Services,ap-south-2,Hyderabad,IN-SO,IND,Asia Pacific (Hyderabad),"17.385,78.4867 ",,1.00,,0.190,0,,,679.4097431,,679,,,,,,,
2022,Amazon Web Services,ap-southeast-3,Indonesia,ID,ID,Asia Pacific (Jakarta),"-6.175,106.8275 ",,,1.390,0.190,,,,,,,,,,,,,
